Wilayah;Kode Kecamatan;Kecamatan;NamaTaman;Alamat;Luas (m2);Data Tahun
Bojonegara;327301;Sukasari;Taman Gegerkalong/Setiabudhi;Jl. Setiabudhi;152.8;2018
Bojonegara;327301;Sukasari;Taman Sukajadi/Setiabudhi;Jl. Setiabudhi;769.03;2018
Bojonegara;327301;Sukasari;Taman Setiabudhi/Karang Sari;Jl. Setiabudhi;661.35;2018
Bojonegara;327301;Sukasari;Taman Batas Kota Setiabudhi;Jl. Setiabudhi;350;2018
Bojonegara;327301;Sukasari;Taman Pintu Gerbang;Jl. Cijerokaso (Parahyangan Rumah Villa);574.05;2018
Bojonegara;327301;Sukasari;Taman Batu;Jl. Cijerokaso (Parahyangan Rumah Villa);2990.33;2018
Bojonegara;327301;Sukasari;Taman WTP (Groun TankI);Jl. Cijerokaso (Parahyangan Rumah Villa);552;2018
Bojonegara;327301;Sukasari;Taman Kav. 10 - Jembatan 1;Jl. Cijerokaso (Parahyangan Rumah Villa);744.8;2018
Bojonegara;327301;Sukasari;Taman Play Ground I;Jl. Cijerokaso (Parahyangan Rumah Villa);464.91;2018
Bojonegara;327301;Sukasari;Taman Play Ground II;Jl. Cijerokaso (Parahyangan Rumah Villa);361.75;2018
Bojonegara;327301;Sukasari;Taman Kav. 68 - 69;Jl. Cijerokaso (Parahyangan Rumah Villa);209;2018
Bojonegara;327301;Sukasari;Taman Blok F;Jl. Cijerokaso (Parahyangan Rumah Villa);186.18;2018
Bojonegara;327301;Sukasari;Taman Sebrang F. 07;Jl. Cijerokaso (Parahyangan Rumah Villa);53.75;2018
Bojonegara;327301;Sukasari;Taman Kav. 79;Jl. Cijerokaso (Parahyangan Rumah Villa);88.75;2018
Bojonegara;327301;Sukasari;Taman Kav. 88 - 106;Jl. Cijerokaso (Parahyangan Rumah Villa);95.75;2018
Bojonegara;327301;Sukasari;Taman Parkir;Jl. Cijerokaso (Parahyangan Rumah Villa);1162.12;2018
Bojonegara;327301;Sukasari;Taman Masjid dan Masjid;Jl. Cijerokaso (Parahyangan Rumah Villa);956.54;2018
Bojonegara;327301;Sukasari;Lapang Basket dan Ground Tank II;Jl. Cijerokaso (Parahyangan Rumah Villa);762.74;2018
Bojonegara;327301;Sukasari;Lapangan Tenis;Jl. Cijerokaso (Parahyangan Rumah Villa);1653.42;2018
Bojonegara;327301;Sukasari;Taman Lansia Komplek KPAD Gegerkalong;Komplek KPAD Gegerkalong;510;2018
Bojonegara;327301;Sukasari;Jalur Raya Komplek KPAD;Komplek KPAD Gegerkalong;12900;2018
Bojonegara;327301;Sukasari;Lapangan Olahraga Komplek KPAD Gegerkalong;Komplek KPAD Gegerkalong;20150;2018
Bojonegara;327301;Sukasari;Taman Anak Komplek KPAD Gegerkalong;Komplek KPAD Gegerkalong;2007;2018
Bojonegara;327301;Sukasari;Taman Perumnas Sarijadi -a;Perumnas SarijadiBlok 5;7447;2018
Bojonegara;327301;Sukasari;Taman Perumnas Sarijadi -b;Perumnas SarijadiBlok 7;-;2018
Bojonegara;327301;Sukasari;Taman Perumnas Sarijadi -c;Perumnas SarijadiBlok 9;-;2018
Bojonegara;327301;Sukasari;Taman Perumnas Sarijadi -d;Perumnas SarijadiBlok 13;-;2018
Bojonegara;327301;Sukasari;Taman Perumnas Sarijadi -e;Perumnas SarijadiBlok 15;-;2018
Bojonegara;327301;Sukasari;Taman Perumnas Sarijadi -f;Perumnas SarijadiBlok 24;-;2018
Bojonegara;327301;Sukasari;Taman RW 05 Kel. Sarijadi;Jl. Sarijadi;150;2018
Bojonegara;327301;Sukasari;Taman RW 02 Kel. Gegerkalong;-;203;2018
Bojonegara;327301;Sukasari;Taman RW 02 Kel. Gegerkalong Kec. Sukasari;Jl. Mesjid At Taqwa ;174.55;2018
Bojonegara;327307;Sukajadi;Taman Sukajadi/Cemara;Jl. Sukajadi;395;2018
Bojonegara;327307;Sukajadi;Taman Angklung;Jl. Sukajadi;1823.52;2018
Bojonegara;327307;Sukajadi;Taman Sukajadi/Eykman;Jl. Sukajadi;1733.44;2018
Bojonegara;327307;Sukajadi;Taman Setiabudhi/Cipaganti;Jl. Dr. Setiabudi;1529.7;2018
Bojonegara;327307;Sukajadi;Taman Setiabudhi/Sindang Sirna;Jl. Sukajadi;972;2018
Bojonegara;327307;Sukajadi;Taman Sukajadi/Karangtineung;Jl. Sukajadi;1940.5;2018
Bojonegara;327307;Sukajadi;Taman Pulau Jl. Setiabudhi - Jl. Sukajadi;Jl. Setiabudhi -Jl. Sukajadi;796.09;2018
Bojonegara;327307;Sukajadi;Taman Sukajadi/Karangtinggal;Jl. Sukajadi;250;2018
Bojonegara;327307;Sukajadi;Taman Sukajadi/Sukamaju;Jl. Sukajadi;200;2018
Bojonegara;327307;Sukajadi; Pulau Jalan Pasirkaliki/Pasteur;Jl. Sukajadi;895.6;2018
Bojonegara;327307;Sukajadi;Taman Sukarasa;Jl. Sukarasa;500;2018
Bojonegara;327307;Sukajadi;Taman Perumnas Sarijadi -a;Perumnas SarijadiBlok 5;7447;2018
Bojonegara;327307;Sukajadi;Taman Pro. Eykman/Makmur;Jl. Eykman;790;2018
Bojonegara;327307;Sukajadi;Taman Sukajadi/Panglayungan;Jl. Sukajadi;2699.08;2018
Bojonegara;327307;Sukajadi;Lapang Voli Perumahan Sukamulya Indah;Komplek Perumahan Sukamulya Indah;408;2018
Bojonegara;327307;Sukajadi;Taman Sukagalih;Jl. Sukagalih (depan Kelurahan);99;2018
Bojonegara;327307;Sukajadi;Jalur HijauJalur Bungur;Jl. Bungur;264;2018
Bojonegara;327307;Sukajadi;Taman Sudut Pasirkaliki 1;Jl. Pasteur;593.31;2018
Bojonegara;327307;Sukajadi;Taman Sudut Pasirkaliki 2;Jl. Pasirkaliki;536;2018
Bojonegara;327307;Sukajadi;Taman Sukamulya/Pasteur;Jl. Sukamulya;782.52;2018
Bojonegara;327307;Sukajadi;Taman Surya Sumantri;Jl. Surya Sumantri / Dr. Junjunan;983.2;2018
Bojonegara;327307;Sukajadi;Taman Sukamulya Bunderan;Jl. Pasteur;378.5;2018
Bojonegara;327307;Sukajadi;Jalur Dr. Djundjunan;Jl. Dr. Djundjunan -Jl. Suria Sumantri;6258.56;2018
Bojonegara;327307;Sukajadi;Taman Eks SPBU Sukajadi;Jl. Pasteur;4251.03;2018
Bojonegara;327307;Sukajadi;Lapangan ABRA;Jl. Cipedes;14966.38;2018
Bojonegara;327307;Sukajadi;Median flyover Pasteur;Jl. Pasteur;5852.5;2018
Bojonegara;327307;Sukajadi;Taman Tenteram;Jl. Tenteram;365.6;2018
Bojonegara;327307;Sukajadi;Taman RW 01 Kel. Pasteur;Jl. Cemara - Gg. Cemara VI;357.8;2018
Bojonegara;327307;Sukajadi;Taman RW 02 Kel. Sukawarna;Jl. Sariwangi;285;2018
Bojonegara;327307;Sukajadi;Taman RW 10 Kel. Sukabungah;Taman Manggis Ceria;205.92;2018
Bojonegara;327307;Sukajadi;Taman RW 04 Kel. Sukawarna Kec. Sukajadi;RW 04Jl. Cibogo;110.07;2018
Bojonegara;327306;Cicendo;Taman Patung Husein;Jl. Padjadjaran;518.25;2018
Bojonegara;327306;Cicendo;Taman Dr. Rajiman;Jl. Dr. Rajiman;895.5;2018
Bojonegara;327306;Cicendo;Taman Dr. Otten 1;Jl. Dr. Otten;3171.08;2018
Bojonegara;327306;Cicendo;Taman Dr. Otten 2;Jl. Dr. Otten;58;2018
Bojonegara;327306;Cicendo; Pulau Jalan Westhcoop I;Jl. Dr. Otten;183.06;2018
Bojonegara;327306;Cicendo; Pulau Jalan Westhcoop II;Jl. Dr. Otten;137.5;2018
Bojonegara;327306;Cicendo;Taman Curie;Jl. Dr. Curie;974.04;2018
Bojonegara;327306;Cicendo;Taman Erligh;Jl. Dr. Erligh;391;2018
Bojonegara;327306;Cicendo;Taman Abdul Riva'i;Jl. Abdul Riva'I;671.7;2018
Bojonegara;327306;Cicendo;Taman Dr. Cipto;Jl. Pajajaran;1709.18;2018
Bojonegara;327306;Cicendo;Taman Pandu/Padjadjaran;Jl. Pajajaran;82.25;2018
Bojonegara;327306;Cicendo;Taman Monumen KTT Non Blok;Jl. Pajajaran;1526.73;2018
Bojonegara;327306;Cicendo;Taman Abd. Rachman Saleh ;Jl. Abd. Rachman Saleh;1959.06;2018
Bojonegara;327306;Cicendo;Taman Supadio I;Jl. Abd. Rachman Saleh;858.75;2018
Bojonegara;327306;Cicendo;Taman Supadio II;Jl. Abd. Rachman Saleh;431.5;2018
Bojonegara;327306;Cicendo;Taman Nurtanio (Jalur);Jl. Nurtanio/Garuda;567.75;2018
Bojonegara;327306;Cicendo;Taman Adipura;Jl. Padjajaran;100;2018
Bojonegara;327306;Cicendo;Taman Sudut Kebon Kawung/Pasirkaliki;Jl. Kebon Kawung/Pasirkaliki;362.7;2018
Bojonegara;327306;Cicendo;Taman Arjuna/Pendawa;Jl. Arjuna;341.4;2018
Bojonegara;327306;Cicendo;Taman Lesmana;Jl. Lesmana;1844;2018
Bojonegara;327306;Cicendo;Taman Pandu Gereja;Jl. Pandu;988;2018
Bojonegara;327306;Cicendo; Lap. Kembar Empat;Jl. Muhamad;4488;2018
Bojonegara;327306;Cicendo;Taman GOR Padjadjaran;Jl. Pajajaran;5745.07;2018
Bojonegara;327306;Cicendo;Taman Bima/Kresna;Jl. Bima;117.45;2018
Bojonegara;327306;Cicendo;Taman Bima;Jl. Bima;555;2018
Bojonegara;327306;Cicendo;Taman Pendawa RW 03/04;Jl. Pendawa/Kresna;3861.74;2018
Bojonegara;327306;Cicendo;Taman Bunderan Arjuna;Jl. Arjuna;25;2018
Bojonegara;327306;Cicendo;Lapangan Jatayu;Jl. Supadio;4666.5;2018
Bojonegara;327306;Cicendo;TamanLapangan Olah Raga Mahmud;Jl. Mahmud;5330;2018
Bojonegara;327306;Cicendo;Taman Brounsweigh;Jl. Wastukancana;490.25;2018
Bojonegara;327306;Cicendo;Taman Dr. Hatta;Jl. Hatta;2808.07;2018
Bojonegara;327306;Cicendo;Taman RW 01 Kel. Pamoyanan;Jl. Pesantren Wetan;375.51;2018
Bojonegara;327306;Cicendo;Taman RW 05 Kel. Pasir Kaliki;Jl . yakin;252;2018
Bojonegara;327306;Cicendo;Taman Alun-alun Cicendo ;Jl. Arjuna - Husen Sastranegara - Cicendo;5400;2018
Bojonegara;327306;Cicendo;Taman RW 07 Kel. Pajajaran;-;82.34;2018
Bojonegara;327306;Cicendo;Taman RW 01 Kel. Sukaraja;-;309.76;2018
Bojonegara;327305;Andir;Taman Waringin;Jl. Waringin;198.1;2018
Bojonegara;327305;Andir;Taman Rajawali/Arjuna;Jl. Rajawali;376;2018
Bojonegara;327305;Andir;Jalur Sudirman;Jl. Sudirman;3158.02;2018
Bojonegara;327305;Andir; TPJ Sudirman - Rajawali;Jl. Sudirman;825.54;2018
Bojonegara;327305;Andir; Bunderan Sudirman;Jl. Sudirman;735;2018
Bojonegara;327305;Andir;Jalur Garuda Barat;Jl. Garuda;2405;2018
Bojonegara;327305;Andir;Jalur Elang;Jl. Elang;1395.67;2018
Bojonegara;327305;Andir;Taman Cimindi;Jl. Cimindi;1557.21;2018
Bojonegara;327305;Andir;Taman yaplun;Jl. yaplun;50;2018
Bojonegara;327305;Andir;Taman Sudut Rajawali;Jl. Rajawali;666.35;2018
Bojonegara;327305;Andir;Lapang Elang;Jl. Elang II;10306;2018
Bojonegara;327305;Andir;Jalur Garuda Timur;Jl. Garuda;2968.13;2018
Bojonegara;327305;Andir;Taman RW. 04 Kel. Dungucariang;Jl. Jend.Sudirman;110;2018
Bojonegara;327305;Andir;TAMAN RW. 09 Kel. Kebun Jeruk;Jl. Kasman;130;2018
Bojonegara;327305;Andir;Taman RW 07 Belakang Kantor Kel. Maleber;Jl. Maleber Utara;210;2018
Bojonegara;327305;Andir;Taman RW 07 Kel. Kebon Jeruk;-;76;2018
Cibeunying;327308;Cidadap;Taman Ciumbuleuit 1;Jl. Ciumbuleuit;78.5;2018
Cibeunying;327308;Cidadap;Taman Hegarmanah Tugu;Jl. Hegarmanah;587.6;2018
Cibeunying;327308;Cidadap;Taman Hegarmanah Tengah;Jl. Hegarmanah;70;2018
Cibeunying;327308;Cidadap;Taman Ciumbuleuit 2 (Taman Kolam);Jl. Kolam;5120;2018
Cibeunying;327308;Cidadap;Taman Rancabentang;Jl. Rancabentang;2198.98;2018
Cibeunying;327308;Cidadap;Taman HegarmanahLapang Volli;Jl. Hegarmanah;1576;2018
Cibeunying;327308;Cidadap;Taman Sanirosa;Jl. Sanirosa;135;2018
Cibeunying;327308;Cidadap;Taman Hegarmanah;Jl. Hegarmanah;900;2018
Cibeunying;327302;Coblong;Taman Gesit;Jl. Dipatiukur  - Lebak Gede - Coblong;556.5;2018
Cibeunying;327302;Coblong;Jalur Dago;Jl. Dago;2156;2018
Cibeunying;327302;Coblong;Taman Keluarga Berencana;Jl. Setiabudhi -Jl. Cihampelas;410;2018
Cibeunying;327302;Coblong;Taman Siliwangi/Sangkuriang;Jl. Siliwangi;59.4;2018
Cibeunying;327302;Coblong;Taman Siliwangi/Sumur Bandung;Jl. Siliwangi;185.5;2018
Cibeunying;327302;Coblong;Taman Ganesha;Jl. Ganesa;9612;2018
Cibeunying;327302;Coblong;Taman Bapak Husen;Jl. Cipaganti ;639;2018
Cibeunying;327302;Coblong;Jalur Siliwangi;Jl. Siliwangi;150.12;2018
Cibeunying;327302;Coblong;Taman Fitness;Jl. Teuku Umar - Lebakgede - Coblong;3614;2018
Cibeunying;327302;Coblong;Taman Dayang Sumbi/Tamansari;Jl. Dayang Sumbi;754.6;2018
Cibeunying;327302;Coblong;Taman Dago Atas (Dago Tea House);Jl. Dago Atas;2760;2018
Cibeunying;327302;Coblong; Kebun Binatang;Jl. Taman Sari;35874.67;2018
Cibeunying;327302;Coblong;Lapang Lebak Siliwangi (Sabuga);Jl. Taman Sari;71568.13;2018
Cibeunying;327302;Coblong;Taman Hewan;Jl. Taman Sari;2456;2018
Cibeunying;327302;Coblong; Tm. Pulau Jl.Tamansari-Sumur Bandung;Jl. Taman Sari -Jl. Sumur Bandung;244.74;2018
Cibeunying;327302;Coblong;Jalur Setiabudi - Cihampelas;Jl. Cihampelas;965;2018
Cibeunying;327302;Coblong;Taman Siliwangi ; Ir. H. Juanda (simpang);81;2018
Cibeunying;327302;Coblong;Taman Tilil;Jl. Puter - Dederuk - Tikukur - Puyuh;2422.06;2018
Cibeunying;327302;Coblong;Taman Eks SPBU Cikapayang (Taman Cikapayang Dago);Jl. Ir. H. Djuanda;2490;2018
Cibeunying;327302;Coblong;Taman Pulau Jalan Ir. H. DJuanda;Jl. Ir. H. Djuanda;32;2018
Cibeunying;327302;Coblong;Taman Pulau JalanTamansari ;Jl. Tamansari;36;2018
Cibeunying;327302;Coblong;Taman Perumnas ;Jl. Sadang serang;45;2018
Cibeunying;327302;Coblong;TamanJalur Gelap Nyawang;Jl. Gelap Nyawang;44;2018
Cibeunying;327302;Coblong;Taman Hutan Kota Babakan Siliwangi;Jl. Tamansari no. 90 - Lb. Siliwangi - Coblong;23052;2018
Cibeunying;327302;Coblong; Bak Bunga Jalan Pasupati;Jembatan Pasupati;350;2018
Cibeunying;327302;Coblong;Taman Pulau Jalan Pasupati;Jl. Ir. H. Djuanda -Jl. Tamansari - Jl. Cikapayang;384;2018
Cibeunying;327302;Coblong;Taman Monumen Perjuangan Rakyat Jabar;Jl. Dipatiukur -Jl. Suci;83100;2018
Cibeunying;327302;Coblong;Taman Bagusrangin;Jl. Bagusrangin;1560;2018
Cibeunying;327302;Coblong;Taman Panatayuda;Jl. Panatayuda;2387;2018
Cibeunying;327302;Coblong;Taman Hasanudin;Jl. Dipati Ukur;3400;2018
Cibeunying;327302;Coblong;Taman Tubagus Ismail;Jl. Tubagus Ismail;86;2018
Cibeunying;327302;Coblong;Taman Japati;Jl. Japati;40;2018
Cibeunying;327302;Coblong;Taman RW 04 Kel. Sadang Serang;Jl. Gelatik Dalam;158.93;2018
Cibeunying;327302;Coblong;Taman Barokah RW 05 Lebak Siliwangi;Jl. Tamansari ;56;2018
Cibeunying;327309;Bandung Wetan;Taman Jl. Diponegoro - Jl. Trunojoyo;Jl. Diponegoro -Jl. Trunojoyo;709.18;2018
Cibeunying;327309;Bandung Wetan;Taman Nyland;Jl. Nyland - Tamansari;783.75;2018
Cibeunying;327309;Bandung Wetan;Taman Waska/Tamansari;Jl. Waska - Tamansari;81.49;2018
Cibeunying;327309;Bandung Wetan;Taman Waska/Purnawarman (Texas);Jl. Wastukancana;144.9;2018
Cibeunying;327309;Bandung Wetan;Taman Waska/Pajajaran (Macan);Jl. Wastukancana;127.5;2018
Cibeunying;327309;Bandung Wetan;Taman Depan Galeria BIP Sumatera/Sulawesi;Jl. Sumatera;200.9;2018
Cibeunying;327309;Bandung Wetan;Taman Waska Panglima;Jl. Wastukancana;137.4;2018
Cibeunying;327309;Bandung Wetan;Taman Wastukancana/Tamansari (Liuzou);Jl. Tamansari;280;2018
Cibeunying;327309;Bandung Wetan;Taman Viaduct (Pelajar Pejuang dan Laskar Wanita);Jl. Stasiun Timur;2550.45;2018
Cibeunying;327309;Bandung Wetan;Taman Seram;Jl. Seram;9511.23;2018
Cibeunying;327309;Bandung Wetan; GOR Saparua;Jl. Ambon;44300;2018
Cibeunying;327309;Bandung Wetan;Taman Lalu Lintas;Jl. Sumatera;45600.87;2018
Cibeunying;327309;Bandung Wetan; Stadion Siliwangi;Jl. Lombok;60576.87;2018
Cibeunying;327309;Bandung Wetan;Taman Gedung Sate;Jl. Diponegoro/Gedung Sate;16605;2018
Cibeunying;327309;Bandung Wetan;Taman PKK;Jl. Cibeunying Utara;2893.7;2018
Cibeunying;327309;Bandung Wetan;Taman Cibeunying Bank NISP;Jl. Cibeunying;688.25;2018
Cibeunying;327309;Bandung Wetan;Jalur Hijau Jalan Ciliwung;Jl. Ciliwung;936;2018
Cibeunying;327309;Bandung Wetan;Jalur Hijau Jalan Citarum;Jl. Citarum;436.66;2018
Cibeunying;327309;Bandung Wetan;Taman Citarum;Jl. Citarum;1102.67;2018
Cibeunying;327309;Bandung Wetan;Taman DKK Supratman;Jl. Supratman;264.5;2018
Cibeunying;327309;Bandung Wetan;Taman Trunojoyo;Jl. Trunojoyo;850.56;2018
Cibeunying;327309;Bandung Wetan;Taman Cilaki Atas (Taman Lansia);Jl. Cilaki Atas/Jl. Cisangkuy/Jl. Citarum;16620;2018
Cibeunying;327309;Bandung Wetan;Taman Cilaki Tengah (Taman Kandaga Puspa);Jl. Cilaki/Jl. Citarum;6487;2018
Cibeunying;327309;Bandung Wetan;Taman Cilaki Bawah I dan II (Pet Park);Jl. Cilaki/Jl. Ciliwung;9753;2018
Cibeunying;327309;Bandung Wetan;Taman Cilaki;Jl. Cilaki;300;2018
Cibeunying;327309;Bandung Wetan;Taman Progo;Jl. Progo;172;2018
Cibeunying;327309;Bandung Wetan;Taman Gempol;Jl. Gempol;1245.5;2018
Cibeunying;327309;Bandung Wetan;Taman Anggrek/Bengawan (Taman Super Hero) ;Jl. Anggrek;1425;2018
Cibeunying;327309;Bandung Wetan;Taman Pramuka;Jl. R.E. Martadinata;13845.34;2018
Cibeunying;327309;Bandung Wetan;Lapang Gasibu;Jl. Gasibu;25962;2018
Cibeunying;327309;Bandung Wetan;Jalur Prabudimuntur/Surapati;Jl. Prabudimuntur;3600;2018
Cibeunying;327309;Bandung Wetan;Taman Wira Angun-angun;Jl. Wira Angun-angun;918;2018
Cibeunying;327309;Bandung Wetan;Lapang Supratman (Taman Persib);Jl. W.R. Supratman No.24 - Cihapit;9072.75;2018
Cibeunying;327309;Bandung Wetan;Taman Cipunagara;Jl. Cipunagara;688;2018
Cibeunying;327309;Bandung Wetan;Taman Salam Puskesmas;Jl. Salam;63.5;2018
Cibeunying;327309;Bandung Wetan;Taman Rasamala;Jl. Rasamala;756.99;2018
Cibeunying;327309;Bandung Wetan;TamanLapang salam;Jl. Salam;1685;2018
Cibeunying;327309;Bandung Wetan;Taman Cendana;Jl. Cendana;392.47;2018
Cibeunying;327309;Bandung Wetan; Pulau Jalan Sentot;Jl. Sentot;16.04;2018
Cibeunying;327309;Bandung Wetan;Taman Rangga Malela (Taman Radio);Jl. Juanda/Jl. Ranggamalela;920.9;2018
Cibeunying;327309;Bandung Wetan; Pulau JalanTamansari/UNISBA;Jl. Tamansari;127.1;2018
Cibeunying;327309;Bandung Wetan;Jalur HijauTamansari;Jl. Tamansari;908.1;2018
Cibeunying;327309;Bandung Wetan;Taman Gajah Lumantung;Jl. Gajah Lumantung;807.05;2018
Cibeunying;327309;Bandung Wetan;Taman Ciungwanara;Jl. Badak Singa;1943;2018
Cibeunying;327309;Bandung Wetan;Taman Cikapayang/Badak Singa (depan PDAM);Jl. Badak Singa;846.34;2018
Cibeunying;327309;Bandung Wetan;Taman Balubur/Tamansari;Jl. Balubur;117.3;2018
Cibeunying;327309;Bandung Wetan;Jalur Hijau Cikapayang;Jl. Cikapayang;1800;2018
Cibeunying;327309;Bandung Wetan; Pulau Jalan Balubur;Jl. Balubur;131.6;2018
Cibeunying;327309;Bandung Wetan;Taman Skanda/Ganesha;Jl. Skanda;312.8;2018
Cibeunying;327309;Bandung Wetan;Taman Dr. Slamet;Jl. Dr. Slamet;1521.7;2018
Cibeunying;327309;Bandung Wetan;Taman Cempaka (Taman Fotografi);Jl. Cempaka;1785;2018
Cibeunying;327309;Bandung Wetan;Taman Mangga;Jl. Mangga;2850;2018
Cibeunying;327309;Bandung Wetan;Taman Pasupati (Taman Jomblo);Bawah Fly Over Pasupati;1539;2018
Cibeunying;327309;Bandung Wetan;Taman Skate Park;Bawah Fly Over Pasupati;300;2018
Cibeunying;327309;Bandung Wetan;Taman Cibeunying Park;Jl. Cilaki;488.25;2018
Cibeunying;327309;Bandung Wetan;Taman Film;Bawah Fly Over Pasupati;1100;2018
Cibeunying;327309;Bandung Wetan;Taman RW 07 Kel. Lebak Siliwangi;-;122.08;2018
Cibeunying;327309;Bandung Wetan;Taman RW 10 Kel.Tamansari;-;654.2;2018
Cibeunying;327319;Sumur Bandung;Taman Braga;Jl. Braga/Jl. Naripan;55;2018
Cibeunying;327319;Sumur Bandung;Taman Texas Sister City 1;Jl. Wastukencana -Jl. Purnawarman;181.6;2018
Cibeunying;327319;Sumur Bandung;Taman Halaman Balai Kota;Jl. Wastukencana;6344.9;2018
Cibeunying;327319;Sumur Bandung;Taman Merdeka (Taman Dewi Sartika);Jl. Merdeka (Balaikota);14729;2018
Cibeunying;327319;Sumur Bandung;Taman depan Masjid Al Ukhuwah;Jl. Wastukencana/Jl. Aceh;54;2018
Cibeunying;327319;Sumur Bandung;Jalur Perintis Kemerdekaan;Jl. Printis Kemerdekaan;105.95;2018
Cibeunying;327319;Sumur Bandung;Jalur Waska Barat;Jl. Waska;458.6;2018
Cibeunying;327319;Sumur Bandung;Taman Nias;Jl. Nias;310;2018
Cibeunying;327319;Sumur Bandung;Taman Patung Bola;Jl. Lembong;170;2018
Cibeunying;327319;Sumur Bandung;Taman Tongkeng;Jl. Tongkeng;3610.5;2018
Cibeunying;327319;Sumur Bandung;Taman Sentrum (Taman Musik);Jl. Belitung;2100.75;2018
Cibeunying;327319;Sumur Bandung;Jalur Aceh ;Jl. Aceh;1840;2018
Cibeunying;327319;Sumur Bandung;Taman Maluku;Jl. Ambon;23633.24;2018
Cibeunying;327319;Sumur Bandung;Taman Inklusi;Jl. Aceh/Jl. Saparua (pojok Taman Maluku);400;2018
Cibeunying;327319;Sumur Bandung;Taman Puskesmas Tamblong;Jl. Tamblong;123;2018
Cibeunying;327319;Sumur Bandung;Taman Buton;Jl. Buton;612.7;2018
Cibeunying;327319;Sumur Bandung;Taman Simpang Lima;Jl. Asia Afrika;244.7;2018
Cibeunying;327319;Sumur Bandung;Taman Riau/A. yani;Jl. Riau;685.6;2018
Cibeunying;327319;Sumur Bandung;Taman Kosambi (Taman Pelangi);Jl. Kosambi;500;2018
Cibeunying;327319;Sumur Bandung;Taman Air Mancur Vanda;Jl. Merdeka  No.9;976;2018
Cibeunying;327319;Sumur Bandung;Taman Pulau Jalan Jawa/Merdeka;Jl. Merdeka;120;2018
Cibeunying;327319;Sumur Bandung;Taman Lombok;Jl. Ambon -Jl. Lombok;50;2018
Cibeunying;327319;Sumur Bandung;Taman eks SPBU depanTaman Pramuka (Taman Kitri);Jl. LLRE Martadinata ;1566;2018
Cibeunying;327319;Sumur Bandung;Taman Sejarah;Jl. Aceh No. 53;2600;2018
Cibeunying;327314;Cibeunying Kidul;Taman Jl. Diponegoro - Jl. Citarum;Jl. Diponegoro -Jl. Citarum;235;2018
Cibeunying;327314;Cibeunying Kidul;Jalur Supratman;Jl. Supratman;3370.6;2018
Cibeunying;327314;Cibeunying Kidul;Taman Katamso;Jl. Katamso;340;2018
Cibeunying;327314;Cibeunying Kidul;Taman Cisadea;Jl. Cisadea;412.25;2018
Cibeunying;327314;Cibeunying Kidul;Taman Surapati/Cicaheum I;Jl. Surapati;2625;2018
Cibeunying;327314;Cibeunying Kidul;Taman Surapati/Cicaheum II;Jl. Surapati;1543.7;2018
Cibeunying;327314;Cibeunying Kidul;Taman Jl. Mekar Asih (Perumahan Bumi Asri Padasuka III);Jl. Mekar Asih;247.8;2018
Cibeunying;327314;Cibeunying Kidul;Taman Jl. Mekar Indah (Perumahan Bumi Asri Padasuka III);Jl. Mekar Indah;85.1;2018
Cibeunying;327314;Cibeunying Kidul;Taman Jl. Mekar Wangi Ruko (Perumahan Bumi Asri Padasuka III);Jl. Mekar Wangi Ruko;190;2018
Cibeunying;327314;Cibeunying Kidul;Taman Jl. Mekar Kencana (Perumahan Bumi Asri Padasuka III);Jl. Mekar Kencana;320;2018
Cibeunying;327314;Cibeunying Kidul;Taman Jl. Mekar Cemerlang (Perumahan Bumi Asri Padasuka III);Jl. Mekar Cemerlang;816;2018
Cibeunying;327314;Cibeunying Kidul;Taman Jl. Mekar Agung (Perumahan Bumi Asri Padasuka III);Jl. Mekar Agung;3331.44;2018
Cibeunying;327314;Cibeunying Kidul;Taman Villa Asri Tengah V;Jl.Villa Asri Tengah V;-;2018
Cibeunying;327314;Cibeunying Kidul;Taman Villa Asri Raya;Jl.Villa Asri Raya;-;2018
Cibeunying;327314;Cibeunying Kidul;Taman Villa Asri III;Jl.Villa Asri III;-;2018
Cibeunying;327314;Cibeunying Kidul;Taman Villa Asri 3;Jl.Villa Asri 3;-;2018
Cibeunying;327318;Cibeunying Kaler;Taman Supratman/Warga;Jl. Supratman;175;2018
Cibeunying;327318;Cibeunying Kaler;Jalur Pahlawan;Jl. Pahlawan;3000;2018
Cibeunying;327318;Cibeunying Kaler;Taman Batik Tiga Negri;Jl. Batik Tiga Negri;1246.25;2018
Cibeunying;327318;Cibeunying Kaler;Taman Sidoluhur;Jl. Sidoluhur;1425;2018
Cibeunying;327318;Cibeunying Kaler;Taman Sudut Suci;Jl. Suci;116;2018
Cibeunying;327318;Cibeunying Kaler;Lapang Tikukur;Jl. Tikukur;12500;2018
Cibeunying;327318;Cibeunying Kaler;Taman Titiran;Jl. Titiran;210;2018
Cibeunying;327318;Cibeunying Kaler;Taman Merak;Jl. Merak;1021;2018
Cibeunying;327318;Cibeunying Kaler;Taman Surapati;Jl. Surapati;1350;2018
Cibeunying;327318;Cibeunying Kaler;Lapangan Olahraga;Komplek Perumahan Sukaluyu;5878;2018
Cibeunying;327318;Cibeunying Kaler;Taman jalaprang;-;1759.49;2018
Cibeunying;327318;Cibeunying Kaler;Taman RW.02 Kel. Neglasari;-;220;2018
Cibeunying;327318;Cibeunying Kaler;Taman RW 05 Kel. Pasirlayung;-;650.47;2018
